Name,Address 1,City,State,ZipCode,DistanceFromSearchedZipCode,SearchedZipCode,ServiceType,Phone,Hours,County
Heritage Baptist Church,1781 East 800th Road,Lawrence,KS,66049,Distance: 1.10 Miles,66045, Pantry,785-887-2200,"PLEASE CALL TO CONFIRM HOURS
Thursday - 1st and 3rd Week
4:00 PM - 6:00 PM
Closed
Sunday, Monday, Tuesday, Wednesday, Friday, Saturday",Douglas
First Baptist Church,1330 Kasold Drive,Lawrence,KS,66049,Distance: 1.10 Miles,66045, Pantry,785-843-0020,"PLEASE CALL TO CONFIRM HOURS
Wednesday - every week
12:00 PM - 2:00 PM
Closed
Sunday, Monday, Tuesday, Thursday, Friday, Saturday",Douglas
Cornerstone Southern Baptist,802 W 22nd Terrace,Lawrence,KS,66046,Distance: 1.20 Miles,66045, Pantry,785-843-0442,"PLEASE CALL TO CONFIRM HOURS
Monday - 2nd and 4th Week
11:00 AM - 3:00 PM
Saturday - 1st and 3rd Week
9:00 AM - 12:00 PM
Closed
Sunday, Tuesday, Wednesday, Thursday, Friday",Douglas
Salvation Army,946 New Hampshire Street,Lawrence,KS,66046,Distance: 1.20 Miles,66045, Pantry,785-843-4188,"PLEASE CALL TO CONFIRM HOURS
Monday - every week
9:00 AM - 12:00 PM
Tuesday - every week
9:00 AM - 12:00 PM
Thursday - every week
9:00 AM - 12:00 PM
Closed
Sunday, Wednesday, Friday, Saturday",Douglas
Just Food,1000 East 11th Street,Lawrence,KS,66046,Distance: 1.20 Miles,66045, Moblie Distribution,785-856-7030,"PLEASE CALL TO CONFIRM HOURS
Monday - 1st week
1:00 PM - 2:00 PM
Closed
Sunday, Tuesday, Wednesday, Thursday, Friday, Saturday",Douglas
Just Food Warehouse,1000 East 11th Street,Lawrence,KS,66046,Distance: 1.20 Miles,66045, Pantry,785-856-7030,"PLEASE CALL TO CONFIRM HOURS
Monday - every week
1:00 PM - 7:00 PM
Tuesday - every week
9:00 AM - 12:00 PM
1:00 PM - 4:00 PM
Wednesday - every week
9:00 AM - 12:00 PM
1:00 PM - 4:00 PM
Thursday - every week
9:00 AM - 12:00 PM
1:00 PM - 4:00 PM
Friday - every week
9:00 AM - 12:00 PM
1:00 PM - 4:00 PM
Closed
Sunday, Saturday",Douglas
Just Food Warehouse,1000 East 11th Street,Lawrence,KS,66046,Distance: 0.00 Miles,66046, Pantry,785-856-7030,"PLEASE CALL TO CONFIRM HOURS
Monday - every week
1:00 PM - 7:00 PM
Tuesday - every week
9:00 AM - 12:00 PM
1:00 PM - 4:00 PM
Wednesday - every week
9:00 AM - 12:00 PM
1:00 PM - 4:00 PM
Thursday - every week
9:00 AM - 12:00 PM
1:00 PM - 4:00 PM
Friday - every week
9:00 AM - 12:00 PM
1:00 PM - 4:00 PM
Closed
Sunday, Saturday",Douglas
Salvation Army,946 New Hampshire Street,Lawrence,KS,66046,Distance: 0.00 Miles,66046, Pantry,785-843-4188,"PLEASE CALL TO CONFIRM HOURS
Monday - every week
9:00 AM - 12:00 PM
Tuesday - every week
9:00 AM - 12:00 PM
Thursday - every week
9:00 AM - 12:00 PM
Closed
Sunday, Wednesday, Friday, Saturday",Douglas
Cornerstone Southern Baptist,802 W 22nd Terrace,Lawrence,KS,66046,Distance: 0.00 Miles,66046, Pantry,785-843-0442,"PLEASE CALL TO CONFIRM HOURS
Monday - 2nd and 4th Week
11:00 AM - 3:00 PM
Saturday - 1st and 3rd Week
9:00 AM - 12:00 PM
Closed
Sunday, Tuesday, Wednesday, Thursday, Friday",Douglas
Just Food,1000 East 11th Street,Lawrence,KS,66046,Distance: 0.00 Miles,66046, Moblie Distribution,785-856-7030,"PLEASE CALL TO CONFIRM HOURS
Monday - 1st week
1:00 PM - 2:00 PM
Closed
Sunday, Tuesday, Wednesday, Thursday, Friday, Saturday",Douglas
Ballard Community Services,1930 Harper Main Indoor Arena,Lawrence,KS,66044,Distance: 1.30 Miles,66046, Moblie Distribution,785-842-0440,"PLEASE CALL TO CONFIRM HOURS
Wednesday - 3rd Week
9:30 AM - 11:30 AM
Closed
Sunday, Monday, Tuesday, Thursday, Friday, Saturday",Douglas
Catholic Charities,1525 West 6th Suite A & B,Lawrence,KS,66044,Distance: 1.30 Miles,66046, Pantry,785-856-2694,"PLEASE CALL TO CONFIRM HOURS
Monday - every week
9:00 AM - 4:00 PM
Tuesday - every week
9:00 AM - 4:00 PM
Wednesday - every week
9:00 AM - 4:00 PM
Thursday - every week
9:00 AM - 4:00 PM
Friday - every week
9:00 AM - 4:00 PM
Closed
Sunday, Saturday",Douglas
Salvation Army,946 New Hampshire Street,Lawrence,KS,66044,Distance: 1.30 Miles,66046, On-site Meals,785-843-4188,"PLEASE CALL TO CONFIRM HOURS
Monday - every week
1:00 PM - 2:00 PM
Wednesday - every week
1:00 PM - 2:00 PM
Friday - every week
1:00 PM - 2:00 PM
Closed
Sunday, Tuesday, Thursday, Saturday",Douglas
Catholic Charities,1330 Kasold,Lawrence,KS,66044,Distance: 1.30 Miles,66046, Moblie Distribution,785-856-2694,"PLEASE CALL TO CONFIRM HOURS
Saturday - 4th Week
1:00 PM - 2:00 PM
Closed
Sunday, Monday, Tuesday, Wednesday, Thursday, Friday",Douglas
Trinity Interfaith Food Pantry,1027 Vermont Street,Lawrence,KS,66044,Distance: 1.30 Miles,66046, Pantry,785-843-2207,"PLEASE CALL TO CONFIRM HOURS
Tuesday - every week
2:00 PM - 4:00 PM
Saturday - every week
10:00 AM - 12:00 PM
Closed
Sunday, Monday, Wednesday, Thursday, Friday",Douglas
Heritage Baptist Church,1781 East 800th Road,Lawrence,KS,66049,Distance: 2.30 Miles,66046, Pantry,785-887-2200,"PLEASE CALL TO CONFIRM HOURS
Thursday - 1st and 3rd Week
4:00 PM - 6:00 PM
Closed
Sunday, Monday, Tuesday, Wednesday, Friday, Saturday",Douglas
First Baptist Church,1330 Kasold Drive,Lawrence,KS,66049,Distance: 2.30 Miles,66046, Pantry,785-843-0020,"PLEASE CALL TO CONFIRM HOURS
Wednesday - every week
12:00 PM - 2:00 PM
Closed
Sunday, Monday, Tuesday, Thursday, Friday, Saturday",Douglas
Lawrence First United Methodist Church,867 Highway 40,Lawrence,KS,66049,Distance: 2.30 Miles,66046, Moblie Distribution,785-861-7704,"PLEASE CALL TO CONFIRM HOURS
Saturday - 2nd Week
11:00 AM - 12:00 PM
Closed
Sunday, Monday, Tuesday, Wednesday, Thursday, Friday",Douglas
Just Food Warehouse,1000 East 11th Street,Lawrence,KS,66046,Distance: 1.40 Miles,66047, Pantry,785-856-7030,"PLEASE CALL TO CONFIRM HOURS
Monday - every week
1:00 PM - 7:00 PM
Tuesday - every week
9:00 AM - 12:00 PM
1:00 PM - 4:00 PM
Wednesday - every week
9:00 AM - 12:00 PM
1:00 PM - 4:00 PM
Thursday - every week
9:00 AM - 12:00 PM
1:00 PM - 4:00 PM
Friday - every week
9:00 AM - 12:00 PM
1:00 PM - 4:00 PM
Closed
Sunday, Saturday",Douglas
Salvation Army,946 New Hampshire Street,Lawrence,KS,66046,Distance: 1.40 Miles,66047, Pantry,785-843-4188,"PLEASE CALL TO CONFIRM HOURS
Monday - every week
9:00 AM - 12:00 PM
Tuesday - every week
9:00 AM - 12:00 PM
Thursday - every week
9:00 AM - 12:00 PM
Closed
Sunday, Wednesday, Friday, Saturday",Douglas
Cornerstone Southern Baptist,802 W 22nd Terrace,Lawrence,KS,66046,Distance: 1.40 Miles,66047, Pantry,785-843-0442,"PLEASE CALL TO CONFIRM HOURS
Monday - 2nd and 4th Week
11:00 AM - 3:00 PM
Saturday - 1st and 3rd Week
9:00 AM - 12:00 PM
Closed
Sunday, Tuesday, Wednesday, Thursday, Friday",Douglas
Just Food,1000 East 11th Street,Lawrence,KS,66046,Distance: 1.40 Miles,66047, Moblie Distribution,785-856-7030,"PLEASE CALL TO CONFIRM HOURS
Monday - 1st week
1:00 PM - 2:00 PM
Closed
Sunday, Tuesday, Wednesday, Thursday, Friday, Saturday",Douglas
Lawrence First United Methodist Church,867 Highway 40,Lawrence,KS,66049,Distance: 1.60 Miles,66047, Moblie Distribution,785-861-7704,"PLEASE CALL TO CONFIRM HOURS
Saturday - 2nd Week
11:00 AM - 12:00 PM
Closed
Sunday, Monday, Tuesday, Wednesday, Thursday, Friday",Douglas
Heritage Baptist Church,1781 East 800th Road,Lawrence,KS,66049,Distance: 1.60 Miles,66047, Pantry,785-887-2200,"PLEASE CALL TO CONFIRM HOURS
Thursday - 1st and 3rd Week
4:00 PM - 6:00 PM
Closed
Sunday, Monday, Tuesday, Wednesday, Friday, Saturday",Douglas
First Baptist Church,1330 Kasold Drive,Lawrence,KS,66049,Distance: 1.60 Miles,66047, Pantry,785-843-0020,"PLEASE CALL TO CONFIRM HOURS
Wednesday - every week
12:00 PM - 2:00 PM
Closed
Sunday, Monday, Tuesday, Thursday, Friday, Saturday",Douglas
Trinity Interfaith Food Pantry,1027 Vermont Street,Lawrence,KS,66044,Distance: 1.80 Miles,66047, Pantry,785-843-2207,"PLEASE CALL TO CONFIRM HOURS
Tuesday - every week
2:00 PM - 4:00 PM
Saturday - every week
10:00 AM - 12:00 PM
Closed
Sunday, Monday, Wednesday, Thursday, Friday",Douglas
Catholic Charities,1525 West 6th Suite A & B,Lawrence,KS,66044,Distance: 1.80 Miles,66047, Pantry,785-856-2694,"PLEASE CALL TO CONFIRM HOURS
Monday - every week
9:00 AM - 4:00 PM
Tuesday - every week
9:00 AM - 4:00 PM
Wednesday - every week
9:00 AM - 4:00 PM
Thursday - every week
9:00 AM - 4:00 PM
Friday - every week
9:00 AM - 4:00 PM
Closed
Sunday, Saturday",Douglas
Salvation Army,946 New Hampshire Street,Lawrence,KS,66044,Distance: 1.80 Miles,66047, On-site Meals,785-843-4188,"PLEASE CALL TO CONFIRM HOURS
Monday - every week
1:00 PM - 2:00 PM
Wednesday - every week
1:00 PM - 2:00 PM
Friday - every week
1:00 PM - 2:00 PM
Closed
Sunday, Tuesday, Thursday, Saturday",Douglas
Catholic Charities,1330 Kasold,Lawrence,KS,66044,Distance: 1.80 Miles,66047, Moblie Distribution,785-856-2694,"PLEASE CALL TO CONFIRM HOURS
Saturday - 4th Week
1:00 PM - 2:00 PM
Closed
Sunday, Monday, Tuesday, Wednesday, Thursday, Friday",Douglas
Ballard Community Services,1930 Harper Main Indoor Arena,Lawrence,KS,66044,Distance: 1.80 Miles,66047, Moblie Distribution,785-842-0440,"PLEASE CALL TO CONFIRM HOURS
Wednesday - 3rd Week
9:30 AM - 11:30 AM
Closed
Sunday, Monday, Tuesday, Thursday, Friday, Saturday",Douglas
Heritage Baptist Church,1781 East 800th Road,Lawrence,KS,66049,Distance: 0.00 Miles,66049, Pantry,785-887-2200,"PLEASE CALL TO CONFIRM HOURS
Thursday - 1st and 3rd Week
4:00 PM - 6:00 PM
Closed
Sunday, Monday, Tuesday, Wednesday, Friday, Saturday",Douglas
First Baptist Church,1330 Kasold Drive,Lawrence,KS,66049,Distance: 0.00 Miles,66049, Pantry,785-843-0020,"PLEASE CALL TO CONFIRM HOURS
Wednesday - every week
12:00 PM - 2:00 PM
Closed
Sunday, Monday, Tuesday, Thursday, Friday, Saturday",Douglas
Lawrence First United Methodist Church,867 Highway 40,Lawrence,KS,66049,Distance: 0.00 Miles,66049, Moblie Distribution,785-861-7704,"PLEASE CALL TO CONFIRM HOURS
Saturday - 2nd Week
11:00 AM - 12:00 PM
Closed
Sunday, Monday, Tuesday, Wednesday, Thursday, Friday",Douglas
Ballard Community Services,1930 Harper Main Indoor Arena,Lawrence,KS,66044,Distance: 1.50 Miles,66049, Moblie Distribution,785-842-0440,"PLEASE CALL TO CONFIRM HOURS
Wednesday - 3rd Week
9:30 AM - 11:30 AM
Closed
Sunday, Monday, Tuesday, Thursday, Friday, Saturday",Douglas
Trinity Interfaith Food Pantry,1027 Vermont Street,Lawrence,KS,66044,Distance: 1.50 Miles,66049, Pantry,785-843-2207,"PLEASE CALL TO CONFIRM HOURS
Tuesday - every week
2:00 PM - 4:00 PM
Saturday - every week
10:00 AM - 12:00 PM
Closed
Sunday, Monday, Wednesday, Thursday, Friday",Douglas
Catholic Charities,1525 West 6th Suite A & B,Lawrence,KS,66044,Distance: 1.50 Miles,66049, Pantry,785-856-2694,"PLEASE CALL TO CONFIRM HOURS
Monday - every week
9:00 AM - 4:00 PM
Tuesday - every week
9:00 AM - 4:00 PM
Wednesday - every week
9:00 AM - 4:00 PM
Thursday - every week
9:00 AM - 4:00 PM
Friday - every week
9:00 AM - 4:00 PM
Closed
Sunday, Saturday",Douglas
Salvation Army,946 New Hampshire Street,Lawrence,KS,66044,Distance: 1.50 Miles,66049, On-site Meals,785-843-4188,"PLEASE CALL TO CONFIRM HOURS
Monday - every week
1:00 PM - 2:00 PM
Wednesday - every week
1:00 PM - 2:00 PM
Friday - every week
1:00 PM - 2:00 PM
Closed
Sunday, Tuesday, Thursday, Saturday",Douglas
Catholic Charities,1330 Kasold,Lawrence,KS,66044,Distance: 1.50 Miles,66049, Moblie Distribution,785-856-2694,"PLEASE CALL TO CONFIRM HOURS
Saturday - 4th Week
1:00 PM - 2:00 PM
Closed
Sunday, Monday, Tuesday, Wednesday, Thursday, Friday",Douglas
Just Food,1000 East 11th Street,Lawrence,KS,66046,Distance: 2.30 Miles,66049, Moblie Distribution,785-856-7030,"PLEASE CALL TO CONFIRM HOURS
Monday - 1st week
1:00 PM - 2:00 PM
Closed
Sunday, Tuesday, Wednesday, Thursday, Friday, Saturday",Douglas
Salvation Army,946 New Hampshire Street,Lawrence,KS,66046,Distance: 2.30 Miles,66049, Pantry,785-843-4188,"PLEASE CALL TO CONFIRM HOURS
Monday - every week
9:00 AM - 12:00 PM
Tuesday - every week
9:00 AM - 12:00 PM
Thursday - every week
9:00 AM - 12:00 PM
Closed
Sunday, Wednesday, Friday, Saturday",Douglas
Cornerstone Southern Baptist,802 W 22nd Terrace,Lawrence,KS,66046,Distance: 2.30 Miles,66049, Pantry,785-843-0442,"PLEASE CALL TO CONFIRM HOURS
Monday - 2nd and 4th Week
11:00 AM - 3:00 PM
Saturday - 1st and 3rd Week
9:00 AM - 12:00 PM
Closed
Sunday, Tuesday, Wednesday, Thursday, Friday",Douglas
Just Food Warehouse,1000 East 11th Street,Lawrence,KS,66046,Distance: 2.30 Miles,66049, Pantry,785-856-7030,"PLEASE CALL TO CONFIRM HOURS
Monday - every week
1:00 PM - 7:00 PM
Tuesday - every week
9:00 AM - 12:00 PM
1:00 PM - 4:00 PM
Wednesday - every week
9:00 AM - 12:00 PM
1:00 PM - 4:00 PM
Thursday - every week
9:00 AM - 12:00 PM
1:00 PM - 4:00 PM
Friday - every week
9:00 AM - 12:00 PM
1:00 PM - 4:00 PM
Closed
Sunday, Saturday",Douglas
Stull United Methodist Church,1596 East 250 Road,Lecompton,KS,66050,Distance: 0.00 Miles,66050, Pantry,785-887-6521,"PLEASE CALL TO CONFIRM HOURS
Thursday - 1st and 3rd Week
7:00 PM - 8:30 PM
Closed
Sunday, Monday, Tuesday, Wednesday, Friday, Saturday",Shawnee
Lecompton United Methodist,402 Elmore,Lecompton,KS,66050,Distance: 0.00 Miles,66050, Pantry,785-393-3382,"PLEASE CALL TO CONFIRM HOURS
Saturday - 3rd Week
7:30 AM - 11:00 AM
Closed
Sunday, Monday, Tuesday, Wednesday, Thursday, Friday",Shawnee
Stull United Methodist Church,1596 East 250 Road,Lecompton,KS,66050,Distance: 0.00 Miles,66050, Moblie Distribution,785-887-6605,"PLEASE CALL TO CONFIRM HOURS
Thursday - 4th Week
12:00 PM - 1:00 PM
Closed
Sunday, Monday, Tuesday, Wednesday, Friday, Saturday",Shawnee
Williamstown Assembly of God,1225 Oak Street,Perry,KS,66073,Distance: 2.50 Miles,66050, Moblie Distribution,785-597-5228,"PLEASE CALL TO CONFIRM HOURS
Monday - 3rd Week
2:00 PM - 3:00 PM
Closed
Sunday, Tuesday, Wednesday, Thursday, Friday, Saturday",Shawnee
Crossroads Cowboy Church,1225 Oak Street,Perry,KS,66073,Distance: 2.50 Miles,66050, Pantry,785-836-3055,"PLEASE CALL TO CONFIRM HOURS
Monday - 2nd and 4th Week
1:00 PM - 3:30 PM
Closed
Sunday, Tuesday, Wednesday, Thursday, Friday, Saturday",Shawnee
CCF Dunamis,911 S Parker Street Suite B,Olathe,KS,66061,Distance: 2.90 Miles,66051, Pantry,816-288-1320,"PLEASE CALL TO CONFIRM HOURS
Saturday - 2nd Week
12:00 PM -
Closed
Sunday, Monday, Tuesday, Wednesday, Thursday, Friday",Johnson
Catholic Charities,333 E Poplar Street,Olathe,KS,66061,Distance: 2.90 Miles,66051, Pantry,913-433-2572,"PLEASE CALL TO CONFIRM HOURS
Monday - every week
9:00 AM - 4:00 PM
Tuesday - every week
9:00 AM - 4:00 PM
Wednesday - every week
9:00 AM - 4:00 PM
Thursday - every week
9:00 AM - 4:00 PM
Friday - every week
9:00 AM - 4:00 PM
Closed
Sunday, Saturday",Johnson
First Christian Church,200 E Loula Street,Olathe,KS,66061,Distance: 2.90 Miles,66051, Pantry,913-764-3555,"PLEASE CALL TO CONFIRM HOURS
Thursday - every week
9:00 AM - 12:00 PM
Closed
Sunday, Monday, Tuesday, Wednesday, Friday, Saturday",Johnson
